"時点","地域コード","地域","（季節調整値）完全失業率（男女計）【%】","注記"
"2009年7月","00000","全国","5.5",""
"2009年8月","00000","全国","5.4",""
"2009年9月","00000","全国","5.4",""
"2009年10月","00000","全国","5.2",""
"2009年11月","00000","全国","5.2",""
"2009年12月","00000","全国","5.2",""
"2010年1月","00000","全国","5.0",""
"2010年2月","00000","全国","5.0",""
"2010年3月","00000","全国","5.1",""
"2010年4月","00000","全国","5.1",""
"2010年5月","00000","全国","5.1",""
"2010年6月","00000","全国","5.2",""
"2010年7月","00000","全国","5.0",""
"2010年8月","00000","全国","5.1",""
"2010年9月","00000","全国","5.1",""
"2010年10月","00000","全国","5.1",""
"2010年11月","00000","全国","5.0",""
"2010年12月","00000","全国","4.9",""
"2011年1月","00000","全国","4.8",""
"2011年2月","00000","全国","4.7",""
"2011年3月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため，補完推計値を用いた。"
"2011年4月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため，補完推計値を用いた。"
"2011年5月","00000","全国","4.6","東日本大震災の影響により全国集計結果が存在しないため，補完推計値を用いた。"
"2011年6月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため，補完推計値を用いた。"
"2011年7月","00000","全国","4.7","東日本大震災の影響により全国集計結果が存在しないため，補完推計値を用いた。"
"2011年8月","00000","全国","4.5","東日本大震災の影響により全国集計結果が存在しないため，補完推計値を用いた。"
"2011年9月","00000","全国","4.2",""
"2011年10月","00000","全国","4.4",""
"2011年11月","00000","全国","4.5",""
"2011年12月","00000","全国","4.5",""
"2012年1月","00000","全国","4.5",""
